Link/DOI,Publication Date,Gates_funded,Title,Authors,Author_corr,Affiliations,Abstract
https://doi.org/10.1101/2024.09.02.24312948,2024-09-03,False,Hyperbaric Oxygen Therapy for Long COVID: 3-Month Follow up Results from a Prospective Registry of 232 patients,"['J. van Berkel', 'R.C Lalieu', 'D. Joseph', 'M. Hellemons', 'C.A. Lansdorp']",Jur van Berkel (jurvanberkel@eurocept.nl),"['1 Eurocept Clinics , The Netherlands', '2 Hyperbaric Medical Center (HGC) , Rijswijk, The Netherlands', '3 Deptartment of Pulmonary Medicine, Erasmus Medical Center , Rotterdam, The Netherlands']","A potential beneficial effect of hyperbaric oxygen therapy (HBOT) on complaints of long COVID was found, leading to increased demand for this treatment despite many remaining clinical questions and lack of formal guideline recommendations and reimbursement. A registry was set up in order to gain more insight into patient characteristics and (long-term) outcomes of long COVID patients undergoing HBOT. Patient-reported outcome measures were collected at baseline, after treatment and at 3-month follow up. The primary outcome measures were the mental and physical component score (MCS/PCS) of the SF-36 questionnaire 3 months after HBOT. A clinically relevant positive or negative response was defined as an increase or decrease of [&ge;]10% in MCS and/or PCS after 3 months. Secondary outcomes included the EQ-5D, severity of complaints and ability to work. In this prospective registry of 232 long COVID patients, 65% of long term-ill patients had a clinically relevant increase in quality of life. However, 15% of the patients experienced deterioration in quality of life. Symptoms that showed most improvement were predominantly in the cognitive domain. This indicates that HBOT may have a positive effect on complaints of long COVID, but alertness for worsening of the condition should be exercised."
https://doi.org/10.1101/2024.09.02.24312958,2024-09-03,False,"Determinants of self-treatment with antimalarials in Ndola district, Zambia: a cross-sectional study","['Namasiku Grace Susiku', 'Choolwe Jacobs', 'Jessy Zgambo', 'Patrick Kaonga', 'Lungowe Sitali']",Namasiku  Grace Susiku (namasikugsusiku@gmail.com),"['1 Department of Epidemiology and Biostatistics, School of Public Health, University of Zambia , Lusaka, Zambia', '2 Department of Biomedical Sciences, School of Health Sciences, University of Zambia , Lusaka, Zambia']","Antimalarial drug resistance has been an obstacle in the fight against malaria over the years. Antimalarial self-medication is one of the factors associated with antimalarial resistance, and is on the rise globally and has become quite common among developing populations. Self-medication is when individuals choose and use medications to treat symptoms they perceive or diagnose themselves, without the guidance of a healthcare professional. This study aimed at investigating prevalence and determinants of antimalarial drug self-medication among adults in Ndola district, Zambia. A cross-sectional study was conducted among adults in Ndola district, Zambia in June 2023. Using multistage cluster sampling, 446 participants were randomly selected and interviewed through a mobile-based structured questionnaire administered by the researchers using Kobo collect/kobo toolbox. The head of household was the primary participant. Data was then exported to Microsoft Excel, cleaned and coded, and thereafter exported to STATA version 16.1 for analysis. Chi-square tests and logistic regression analysis was used to test associations between categorical variables and to estimate the odds of antimalarial drug self-medication associated with the explanatory variables. The prevalence of antimalarial drug self-medication was 20% in this study population and the factors significantly associated were; moderate to mild illness, bad experience with hospital care, lack of knowledge about antimalarial drug resistance, and the perception that antimalarial drug self-medication was not risky. The finding that antimalarial self-medication was common in this study population is suggestive of a poor state of the health-care delivery system possibly due to inadequate manpower, stock out of drugs in health facilities, and lack of awareness about the risks of self-medication. This further suggests that there is great need for regulatory authorities to strengthen drug regulations and update the list of over-the-counter and essential medicines to ensure the safety of public health. In addition, authorities should repackage malaria sensitization messages to strongly highlight the risks of antimalarial drug self-medication."
https://doi.org/10.1101/2024.09.02.24312850,2024-09-03,False,How do socioeconomic trajectories experienced during early adulthood contribute to the development of cardiometabolic health in young adults?,"['Eleanor Winpenny', 'Jan Stochl', 'Alun Hughes', 'Kate Tilling', 'Laura D Howe']",Eleanor M Winpenny (e.winpenny@imperial.ac.uk),"['1 MRC Epidemiology Unit, University of Cambridge , Cambridge, United Kingdom', '2 Mohn Centre for Children’s Health and Wellbeing, School of Public Health, Imperial College London , London, United Kingdom', '3 Department of Psychiatry, University of Cambridge , Cambridge, United Kingdom', '4 Department of Kinanthropology, Charles University , Prague, Czechia', '5 Department of Population Science & Experimental Medicine, Institute of Cardiovascular Science, University College London , London, United Kingdom', '6 Population Health Sciences, Bristol Medical School, University of Bristol , Bristol, United Kingdom']","IntroductionSocioeconomic position has been strongly associated with cardiovascular health. However, little is known about the short-term health impacts of socioeconomic exposures during early adulthood. In this study we describe distinct socioeconomic trajectories of early adulthood (age 16-24y), and assess associations of these trajectories with measures of cardiometabolic health at age 24y.  MethodsParticipants of the Avon Longitudinal Study of Parents and Children (ALSPAC), with data across age 16y to 24y (2007-2017) were included (n=7,568). Longitudinal latent class analysis identified socioeconomic trajectories, based on education and employment data across ages 16-24y. Cardiometabolic outcomes at age 24y comprised anthropometric, vascular, metabolic and cardiovascular structure and function measures. We modelled differences in cardiometabolic outcomes at age 24y across the socioeconomic trajectory classes, adjusting for childhood socioeconomic position, adolescent health behaviours and adolescent health.  ResultsFour early adulthood socioeconomic trajectories were identified: (1) Higher Education (41% of the population), (2) Extended Education (9%), (3) Part-Time Employment (21%), and (4) Early Employment (29%). Associations between socioeconomic trajectory and cardiometabolic outcomes differed by sex. Among males, the Higher Education and Extended Education classes showed a healthier cardiometabolic profile, and the Part-time Employment class the least healthy. Among females there was less clear distinction between the classes, and the pattern across different outcomes was not consistent.  ConclusionThe newly identified  Part-time Employment class showed the least healthy cardiometabolic profile, and further research should focus on this group to understand the exposures contributing to poor cardiometabolic health in this sector of the population."
https://doi.org/10.1101/2024.09.02.24312930,2024-09-03,False,Association between urbanicity and depressive symptoms among Chinese middle-aged and older adults,"['Chen Yanhua', 'Wang Peicheng', 'He Qiaoyuan', 'Zhu Jiming', 'Mika Kivimäki', 'Gill Livingston', 'Andrew Sommerlad']",Chen Yanhua (yanhuachencc@163.com),"['1 Vanke School of Public Health, Tsinghua University , Beijing, China', '2 School of Medicine, Tsinghua University , Beijing, China', '3 School of Political Science and Public Administration, China University of Political Science and Law , Beijing, China', '4 Institute for Healthy China, Tsinghua University , Beijing, China', '5 University College London Brain Sciences, University College London , London, UK', '6 Clinicum, Faculty of Medicine, University of Helsinki , Helsinki, Finland', '7 Division of Psychiatry, University College London , London, United Kingdom', '8 Camden and Islington NHS Foundation Trust , London, United Kingdom']","BackgroundDepression is a pressing public health issue and may be affected by multifaceted urban living, yet the specific urbanicity elements associated is unclear. Using a multidimensional urbanicity scale, we explored the association between urbanicity and its components with the risk of depressive symptoms.  MethodsThis study used data from four waves of the China Health and Retirement Longitudinal Study, including 12,515 participants aged [&ge;]45 years at baseline in 2011 in 450 rural and urban communities, and 8,766 with 7 years of follow-up. Multilevel logistics regression and Cox proportional hazards regression models examined the cross-sectional and longitudinal associations between urbanicity and depressive symptoms.  ResultsLiving in areas with the highest tertile of urbanicity was associated with a 61% lower risk of depressive symptoms cross-sectionally (odds ratio (OR): 0.39, 95% confidence interval (CI): 0.30-0.50) and 33% lower risk longitudinally (hazard ratio (HR): 0.67, 95% CI: 0.58-0.77) compared to those living in areas with the lowest tertile of urbanicity. Among components, higher population density (OR: 0.92, 95% CI: 0.87-0.97), better education (OR: 0.94, 95% CI: 0.89-0.99), transportation (OR: 0.95, 95% CI: 0.92-0.98), sanitation (OR: 0.96, 95% CI: 0.93-0.98) was associated with lower odds of depressive symptoms, while greater population educational and socioeconomic diversity (OR, 1.08; 95% CI, 1.03-1.13) had opposite effect. Better economic conditions (HR: 0.94, 95% CI: 0.90-0.98) and availability of social services (HR, 0.96; 95% CI, 0.93-0.99) were longitudinally associated with reduced risk of developing depressive symptoms during 7 years of follow-up. Additionally, differences in associated components were found between urban and rural residents and between midlife and older adults.  ConclusionsOur findings underscore the complex links of urban living with depressive symptoms among middle-aged and older adults, highlighting the need to consider a multidimensional urbanicity perspective to understand the urbanicity-mental health nexus. Tailored urban planning policies should consider the associated urbanicity components, along with temporal effectiveness, urban-rural disparities, and age group differences."
https://doi.org/10.1101/2024.09.02.24312930,2024-09-04,False,Association between urbanicity and depressive symptoms among Chinese middle-aged and older adults,"['Yanhua Chen', 'Peicheng Wang', 'Qiaoyuan He', 'Jiming Zhu', 'Mika Kivimäki', 'Gill Livingston', 'Andrew Sommerlad']",Chen Yanhua (yanhuachencc@163.com),"['1 Vanke School of Public Health, Tsinghua University , Beijing, China', '2 School of Medicine, Tsinghua University , Beijing, China', '3 School of Political Science and Public Administration, China University of Political Science and Law , Beijing, China', '4 Institute for Healthy China, Tsinghua University , Beijing, China', '5 University College London Brain Sciences, University College London , London, UK', '6 Clinicum, Faculty of Medicine, University of Helsinki , Helsinki, Finland', '7 Division of Psychiatry, University College London , London, United Kingdom', '8 Camden and Islington NHS Foundation Trust , London, United Kingdom']","BackgroundDepression is a pressing public health issue and may be affected by multifaceted urban living, yet the specific urbanicity elements associated is unclear. Using a multidimensional urbanicity scale, we explored the association between urbanicity and its components with the risk of depressive symptoms.  MethodsThis study used data from four waves of the China Health and Retirement Longitudinal Study, including 12,515 participants aged [&ge;]45 years at baseline in 2011 in 450 rural and urban communities, and 8,766 with 7 years of follow-up. Multilevel logistics regression and Cox proportional hazards regression models examined the cross-sectional and longitudinal associations between urbanicity and depressive symptoms.  ResultsLiving in areas with the highest tertile of urbanicity was associated with a 61% lower risk of depressive symptoms cross-sectionally (odds ratio (OR): 0.39, 95% confidence interval (CI): 0.30-0.50) and 33% lower risk longitudinally (hazard ratio (HR): 0.67, 95% CI: 0.58-0.77) compared to those living in areas with the lowest tertile of urbanicity. Among components, higher population density (OR: 0.92, 95% CI: 0.87-0.97), better education (OR: 0.94, 95% CI: 0.89-0.99), transportation (OR: 0.95, 95% CI: 0.92-0.98), sanitation (OR: 0.96, 95% CI: 0.93-0.98) was associated with lower odds of depressive symptoms, while greater population educational and socioeconomic diversity (OR, 1.08; 95% CI, 1.03-1.13) had opposite effect. Better economic conditions (HR: 0.94, 95% CI: 0.90-0.98) and availability of social services (HR, 0.96; 95% CI, 0.93-0.99) were longitudinally associated with reduced risk of developing depressive symptoms during 7 years of follow-up. Additionally, differences in associated components were found between urban and rural residents and between midlife and older adults.  ConclusionsOur findings underscore the complex links of urban living with depressive symptoms among middle-aged and older adults, highlighting the need to consider a multidimensional urbanicity perspective to understand the urbanicity-mental health nexus. Tailored urban planning policies should consider the associated urbanicity components, along with temporal effectiveness, urban-rural disparities, and age group differences."
https://doi.org/10.1101/2024.09.02.24312928,2024-09-03,False,Causal effects of breast cancer risk factors across hormone receptor breast cancer subtypes: A two-sample Mendelian randomization study,"['Renée MG Verdiesen', 'Mehrnoosh Shokouhi', 'Stephen Burgess', 'Sander Canisius', 'Jenny Chang-Claude', 'Stig E Bojesen', 'Marjanka K Schmidt']",Marjanka Schmidt (mk.schmidt@nki.nl),"['1 Division of Molecular Pathology, The Netherlands Cancer Institute - Antoni van Leeuwenhoek Hospital , Amsterdam, the Netherlands', '2 MRC Biostatistics Unit, University of Cambridge , Cambridge, UK', '3 Department of Public Health and Primary Care, University of Cambridge , Cambridge, UK', '4 Division of Molecular Carcinogenesis, The Netherlands Cancer Institute - Antoni van Leeuwenhoek Hospital , Amsterdam, The Netherlands', '5 Division of Cancer Epidemiology, German Cancer Research Center (DKFZ) , Heidelberg, Germany', '6 University Medical Center Hamburg-Eppendorf, University Cancer Center Hamburg (UCCH), Cancer Epidemiology Group , Hamburg, Germany', '7 Copenhagen University Hospital, Copenhagen General Population Study, Herlev and Gentofte Hospital , Herlev, Denmark', '8 Copenhagen University Hospital, Department of Clinical Biochemistry, Herlev and Gentofte Hospital , Herlev, Denmark', '9 Faculty of Health and Medical Sciences, University of Copenhagen , Copenhagen, Denmark', '10 Division of Psychosocial Research and Epidemiology, The Netherlands Cancer Institute - Antoni van Leeuwenhoek Hospital , Amsterdam, The Netherlands']","BackgroundIt is unclear if established breast cancer risk factors exert similar causal effects across hormone receptor breast cancer subtypes. We estimated and compared causal estimates of height, body mass index (BMI), type 2 diabetes, age at menarche, age at menopause, breast density, alcohol consumption, regular smoking, and physical activity across these subtypes.  MethodsWe used a two-sample Mendelian randomization approach and selected genetic instrumental variables from large-scale risk factor GWAS. Publicly available summary-level data for the following subtypes were included: luminal A-like; luminal B/HER2-negative-like; luminal B-like; HER2-enriched-like; triple negative. We employed multiple methods to evaluate the strength of causal evidence for each risk factor-subtype association.  ResultsCollectively, our analyses indicated that increased height and decreased BMI are probable causal risk factors for all five subtypes. For the other risk factors, the strength of evidence for causal effects differed across subtypes. Heterogeneity in the magnitude of causal effect estimates for age at menopause and breast density was explained by null findings for triple negative tumours. Regular smoking was the sole risk factor for which there was no evidence for a causal effect on any subtype.  ConclusionsThis study suggests that established breast cancer risk factors differ across hormone receptor subtypes."
https://doi.org/10.1101/2024.09.02.24312919,2024-09-03,False,Longitudinal trajectories of psychological resilience and cognitive impairment among older adults: evidence from a national cohort study,"['Peicheng Wang', 'Ruihua Li', 'Yanhua Chen']",Chen Yanhua (yanhuachencc@163.com),"['1 Vanke School of Public Health, Tsinghua University , Beijing, China', '2 School of Medicine, Tsinghua University , Beijing, China', '3 Department of General Surgery, Nanfang Hospital, Southern Medical University , Guangzhou, China', '4 School of Nursing, Southern Medical University , Guangzhou, China', '5 Department of Public Health, Policy and Systems, University of Liverpool , Liverpool, United Kingdom']","BackgroundThe relationship between resilience trajectories and cognitive health is not well understood. This study aimed to identify subgroups of psychological resilience trajectories in a national sample of older adults and to examine the association with cognitive impairment over time.  MethodsThis study used data from the Chinese Longitudinal Healthy Longevity Survey (CLHLS) from 2008 to 2018, and 2,788 respondents were included in this prospective analysis. Using a group{square}based trajectory modeling approach, we identified resilience trajectory groups within a 6-year period. Cox proportional hazards models were used to assess the relationship between the resilience trajectory groups and cognitive impairment.  ResultsThree distinct trajectories of psychological resilience, including decreasing resilience group (n=131,7.1%), persistent middle resilience group (n=1,808, 58.1%), and persistent high resilience group (n=849, 34.8%). During the 6-year follow-up, compared to those with persistent high resilience, participants with persistent middle resilience (HR=1.43, 95% CI=1.14-1.79) and decreasing resilience (HR=2.46, 95% CI=1.76-3.43) remained consistent associated with a higher risk of cognitive impairment. The associations between resilience trajectories and cognitive impairment varied by lifestyle and health conditions.  ConclusionsPsychological resilience is a relatively stable trait among older adults in China, with most individuals maintaining a persistently high or middle level of resilience throughout the follow-up period; however, declining psychological resilience was significantly associated with the risk of cognitive impairment. Therefore, developing targeted interventions to strengthen psychological resilience in older adults is crucial for promoting cognitive health and successful aging, especially for those who have unhealthy lifestyles and with poorer health conditions."
https://doi.org/10.1101/2024.09.02.24312919,2024-09-04,False,Longitudinal trajectories of psychological resilience and cognitive impairment among older adults: evidence from a national cohort study,"['Peicheng Wang', 'Ruihua Li', 'Yanhua Chen']",Chen Yanhua (yanhuachencc@163.com),"['1 Vanke School of Public Health, Tsinghua University , Beijing, China', '2 School of Medicine, Tsinghua University , Beijing, China', '3 Department of General Surgery, Nanfang Hospital, Southern Medical University , Guangzhou, China', '4 School of Nursing, Southern Medical University , Guangzhou, China', '5 Department of Public Health, Policy and Systems, University of Liverpool , Liverpool, United Kingdom']","BackgroundThe relationship between resilience trajectories and cognitive health is not well understood. This study aimed to identify subgroups of psychological resilience trajectories in a national sample of older adults and to examine the association with cognitive impairment over time.  MethodsThis study used data from the Chinese Longitudinal Healthy Longevity Survey (CLHLS) from 2008 to 2018, and 2,788 respondents were included in this prospective analysis. Using a group{square}based trajectory modeling approach, we identified resilience trajectory groups within a 6-year period. Cox proportional hazards models were used to assess the relationship between the resilience trajectory groups and cognitive impairment.  ResultsThree distinct trajectories of psychological resilience, including decreasing resilience group (n=131,7.1%), persistent middle resilience group (n=1,808, 58.1%), and persistent high resilience group (n=849, 34.8%). During the 6-year follow-up, compared to those with persistent high resilience, participants with persistent middle resilience (HR=1.43, 95% CI=1.14-1.79) and decreasing resilience (HR=2.46, 95% CI=1.76-3.43) remained consistent associated with a higher risk of cognitive impairment. The associations between resilience trajectories and cognitive impairment varied by lifestyle and health conditions.  ConclusionsPsychological resilience is a relatively stable trait among older adults in China, with most individuals maintaining a persistently high or middle level of resilience throughout the follow-up period; however, declining psychological resilience was significantly associated with the risk of cognitive impairment. Therefore, developing targeted interventions to strengthen psychological resilience in older adults is crucial for promoting cognitive health and successful aging, especially for those who have unhealthy lifestyles and with poorer health conditions."
https://doi.org/10.1101/2024.09.02.24312347,2024-09-03,True,Interplay Between the Gut Microbiome and Typhoid Fever: Insights from Endemic Countries and a Controlled Human Infection Model,"['Philip M. Ashton', 'Leonardos Mageiros', 'James E. Meiring', 'Angeziwa Chunga Chirambo', 'Farhana Khanam', 'Happy Banda', 'Abhilasha Karkey', 'Sabina Dongol', 'Lorena Preciado Llanes', 'Helena Thomaides-Brears', 'Malick Gibani', 'Nazmul Hasan Rajib', 'Nazia Rahman', 'Prasanta Kumar Biswas', 'Md Amirul Islam Bhuiyan', 'Sally Kay', 'Kate Auger', 'Olivier Seret', 'Nicholas R. Thomson', 'Andrew J Pollard', 'Stephen Baker', 'Buddha Basnyat', 'John D. Clemens', 'Christiane Dolecek', 'Sarah J. Dunstan', 'Gordon Dougan', 'Robert S. Heyderman', 'Virginia E. Pitzer', 'Firdausi Qadri', 'Melita A. Gordon', 'Thomas C. Darton', 'Kathryn E. Holt']",Philip M. Ashton (philip.ashton@liverpool.ac.uk),"['1 Malawi-Liverpool-Wellcome Programme , Blantyre, Malawi', '2 Institute of Infection, Veterinary and Ecological Sciences, University of Liverpool , Liverpool, UK', '3 Department of Infectious Diseases, School of Translational Medicine, Monash University , Melbourne, Victoria, Australia', '4 Clinical Infection Research Group, Division of Clinical Medicine, School of Medicine & Population Health, and The Florey Institute for Infection, University of Sheffield , UK', '5 Department of Medical Laboratory Sciences, School of Life Sciences and Allied Health Professions, Kamuzu University of Health Sciences , Malawi', '6 International Centre for Diarrhoeal Diseases Research , Bangladesh, Dhaka, Bangladesh', '7 Wellcome Sanger Institute , Hinxton, UK', '8 Department of Infection Biology, London School of Hygiene & Tropical Medicine , London, UK', '9 Oxford University Clinical Research Unit, Patan Academy of Health Sciences , Kathmandu, Nepal', '10 Patan Academy of Health Sciences, Patan Hospital , Lalitpur, Nepal', '11 MRC Human Immunology Unit, MRC Weatherall Institute of Molecular Medicine, University of Oxford , Oxford, OX3 9DS, UK', '12 Oxford Vaccine Group, Department of Paediatrics, University of Oxford , Oxford, UK', '13 Department of Infectious Disease, Imperial College London , London, UK', '14 NIHR Oxford Biomedical Research Centre , Oxford, UK', '15 Department of Medicine, University of Cambridge , Cambridge, UK', '16 Centre for Translational Stem Cell Biology , Hong Kong', '17 Nuffield Department of Medicine, Centre for Tropical Medicine and Global Health, University of Oxford , Oxford, UK', '18 Department of Infectious Diseases, The University of Melbourne at The Peter Doherty Institute for Infection and Immunity , Melbourne, Australia', '19 Research Department of Infection, Division of Infection and Immunity, University College London , London, UK', '20 Department of Epidemiology of Microbial Diseases, Yale School of Public Health, Yale University , New Haven, CT, USA', '21 Strategic Typhoid Alliance Across Asia and Africa Consortium']","Typhoid fever is a systemic infection caused by Salmonella enterica serovar Typhi (S. Typhi) bacteria invading through the gut lumen. Transmission occurs through ingestion of contaminated food and water, particularly in settings with poor water, sanitation and hygiene infrastructure, resulting in over 10 million illnesses annually. It is well established that vaccines and natural infections can stimulate protective immunity against S. Typhi. As the pathogen invades through the gastrointestinal tract, it is plausible that the gut microbiome may also influence the outcome of S. Typhi exposure. There is some evidence that bacteria producing short-chain fatty acids (SCFAs) may create an environment unfavourable to invasive Salmonella, but data from humans is very limited.  To investigate the association between gut microbiome and typhoid fever, we analysed samples collected from three all-age cohorts recruited in a prospective surveillance study conducted in parallel in three settings where typhoid fever is endemic (Dhaka, Bangladesh; Blantyre, Malawi; and Kathmandu, Nepal). Cohorts consisted of acute typhoid fever patients (n=92), asymptomatic household contacts of typhoid fever patients (representing individuals who were likely exposed to S. Typhi but did not develop disease, n=97), and asymptomatic serosurvey participants with high Vi antibody titres (representing individuals who were exposed to S. Typhi and may be carriers, n=69). The stool microbiomes of each cohort were characterised using shotgun metagenomics, and bacterial composition and diversity were compared.  We identified four bacterial species and 28 metabolic gene clusters (MGCs) that were significantly lower in abundance in typhoid fever patients compared with household contacts (i.e. probably exposed), in two of the three host populations (Bangladesh and Malawi). These may represent taxa that provide protection against development of clinical infection upon exposure to S. Typhi, and include the inflammation-associated species Prevotella copri clade A and Haemophilus parainfluenzae, and seven MGCs involved in SCFA metabolism. The putative protection provided by SCFA metabolism was supported by data from a controlled human infection model conducted in a UK population, in which participants who did not develop typhoid fever following ingestion of S. Typhi had significantly higher abundance of a putative SCFA-metabolising MGC (q-value = 0.22).  This study identified the same associations between taxonomic and functional microbiota characteristics and non-susceptibility to typhoid fever across multiple cohorts. Future research should explore the potential functional role of SCFAs and inflammation-associated bacteria in resistance to S. Typhi and other enteric infections."
https://doi.org/10.1101/2024.09.03.24313003,2024-09-04,False,"Tuberculosis-Associated Respiratory Disability in Children, Adolescents, and Adults: Protocol for a Systematic Review and Individual Participant Data Meta-Analysis","['Silvia S. Chiang', 'Kamila Romanowski', 'James C. Johnston', 'Alex Petiquan', 'Mayara Bastos', 'Dick Menzies', 'Sierra Land', 'Andrea Benedetti', 'Faiz Ahmad Khan', 'Marieke M. van der Zalm', 'Jonathon R. Campbell']",Jonathon R Campbell (jonathon.campbell@mcgill.ca),"['1 Department of Pediatrics, Alpert Medical School of Brown University , Providence, U.S.A', '2 Center for International Health Research, Rhode Island Hospital , Providence, U.S.A', '3 Department of Global and Public Health, McGill University , Montreal, Canada', '4 TB Services, BC Centre for Disease Control , Vancouver, Canada', '5 University of British Columbia , Vancouver, Canada', '6 University of Ottawa , Ottawa, Canada', '7 University of Manitoba , Winnipeg, Canada', '8 McGill University , Montreal, Canada', '9 Desmond Tutu TB Centre, Department of Paediatrics and Child Health, Stellenbosch University , Cape Town, South Africa', '10 Department of Medicine & Department of Global and Public Health, McGill University , Montreal, Canada', '11 McGill International TB Centre , Montreal, Canada', '12 Respiratory Epidemiology and Clinical Research Unit, Centre for Outcomes Research and Evaluation, Research Institute of the McGill University Health Centre , Montreal, Canada']","BackgroundApproximately 2% of the global population has survived tuberculosis (TB). Increasing evidence indicates that a significant proportion of pulmonary TB survivors develop TB-associated respiratory disability, commonly referred to as post-TB lung disease (PLTD) and marked by impaired respiratory function, persistent symptoms, and activity limitations. However, the prevalence, risk factors, and progression of TB-associated respiratory disability throughout the life course are not well understood. To address these gaps, we will undertake a systematic review and individual participant-level data meta-analysis (IPD-MA) focusing on TB-associated respiratory disability in children, adolescents, and adults successfully treated for pulmonary TB.  Methods and analysisWe will systematically search MEDLINE, Embase, CENTRAL, Global Index Medicus, and medRxiv for original studies investigating TB-associated respiratory disability in people of all ages who have completed treatment for microbiologically confirmed or clinically diagnosed pulmonary TB. Authors of eligible studies will be invited to contribute de-identified data and form a collaborative group. Primary outcomes will be (1) abnormal lung function based on spirometry parameters and (2) chronic respiratory symptoms. We will estimate the overall and subgroup-specific prevalence of each outcome through IPD meta-analysis. Next, we will develop clinical prediction tools assessing the risk of future TB-associated respiratory disability at (i) the start of TB treatment and (ii) end of TB treatment for those without existing signs of disability. Finally, we will use stepwise hierarchical modelling to identify epidemiological determinants of respiratory disability.  Ethics and disseminationThis study has been approved by the ethics review boards at the Rhode Island Hospital (2138217-2) and the Research Institute of the McGill University Health Centre (2024-10345). Individual study authors will be required to obtain institutional approval prior to sharing data. Results will be disseminated through open-access, peer-reviewed publications and conference presentations.  Prospero registration numberCRD42024529906  Strengths and limitations of this studyO_LIAn individual participant data meta-analysis allows for data harmonization to help overcome limitations of individual studies and aggregate meta-analysis, including small sample size, heterogeneity, and limited reporting of subgroups, such as age and other risk factors. C_LIO_LIWe will be able to identify weaknesses in current reporting and recommend standards to support high-quality data collection and facilitate pooling of data. C_LIO_LIKey limitations include authors willingness to share data, representativeness of data contributed, and missing data. C_LIO_LIWe will build an ongoing data collection platform to allow updating of evidence. C_LIO_LIResults will have implications for public health, clinical trial design, and clinical practice to support TB survivors. C_LI"
