Link/DOI,Publication Date,Gates_funded,Title,Authors,Author_corr,Affiliations,Abstract
https://doi.org/10.1101/2024.09.30.24314594,2024-09-30,False,Disrupted functional brain network associated with presence of hallucinations in Parkinsons Disease,"['Marcella Montagnese', 'Mitul Mehta', 'Dominic ffytche', 'Michael Firbank', 'Rachael A Lawson', 'John-Paul Taylor', 'Edward T Bullmore', 'Sarah E Morgan']",Marcella Montagnese (mm2075@cam.ac.uk),"['1 University of Cambridge;', ""2 King's College London;"", '3 Newcastle University;', ""4 King's College London and University of Cambridge""]","Background Hallucinations negatively impact quality of life in Parkinsons disease, yet their neural mechanisms remain poorly understood, particularly in early disease stages. This study aimed to identify functional connectivity differences associated with visual hallucinations in early Parkinsons Disease and to validate these findings across independent datasets. Methods Resting state fMRI data from two prior independent studies was used (total N=185; N=84 hallucinators and N=101 non-hallucinators). Group differences in functional connectivity were assessed within predefined cytoarchitectonic cortical classes and functional networks, followed by whole-brain analysis using Network-Based Statistics (NBS). Associations with clinical measures, including hallucination severity, motor symptoms, cognition, and attention, were also evaluated. Results NBS identified a subnetwork of reduced functional connectivity in hallucinators, connecting regions involved in the default mode, somatomotor and attentional networks. This subnetwork was replicated in a matched sample from our independent cohort (N=50; p<0.01). Functional connectivity within the identified network was significantly associated with hallucination severity (Rsquare = 0.35, p = 0.01), and with baseline and future motor symptoms, cognition, and attention in hallucinators. Conclusions The identified functional subnetwork shows promise as a potential biomarker and therapeutic target for Parkinsons disease psychosis, warranting further investigation and validation in future studies."
https://doi.org/10.1101/2024.09.30.24314608,2024-09-30,True,"Performance of rapid diagnostic tests, microscopy, and qPCR for detection of parasites among community members with or without symptoms of malaria in villages with high levels of artemisinin partial resistance in North-western Tanzania","['Rule Budodo', 'Catherine Bakari', 'Salehe S Mandai', 'Misago D Seth', 'Filbert Francis', 'Gervas A Chacha', 'Angelina J Kisambale', 'Daniel P Challe', 'Daniel A Petro', 'Dativa Pereus', 'Rashid A Madebe', 'Ruth B Mbwambo', 'Ramadhan Moshi', 'Sijenunu Aaron', 'Daniel Mbwambo', 'Abdallah Lusasi', 'Stella Kajange', 'Samwel Lazaro', 'Ntuli Kapologwe', 'Celine I Mandara', 'Deus S Ishengoma']",Deus S Ishengoma (deusishe@yahoo.com),"['1 National Institute for Medical Research, Dar es Salaam, Tanzania;', '2 National Institute for Medical Research, Tanga, Tanzania;', '3 University of Dar es Salaam, Dar es Salaam, Tanzania;', '4 National Institute for Medical Research, Dar es Salaam, Tanzania, Muhimbili University of Health and Allied Sciences, Dar es Salaam, Tanzania;', '5 National Malaria Control Programme, Dodoma, Tanzania;', ""6 President's Office, Regional Administration and Local Government, Dodoma, Tanzania;"", '7 Directorate of Preventive Services, Ministry of Health, Dodoma, Tanzania;', '8 National Institute for Medical Research, Dar es Salaam, Tanzania, Department of Biochemistry, Kampala International University in Tanzania, Dar es Salaam, Tanzania']","Background: Despite the implementation of different control interventions, infections in the communities (among asymptomatic and symptomatic individuals) still play a crucial role in sustaining malaria transmission. This study evaluated the performance of rapid diagnostic tests (RDTs), microscopy, and quantitative PCR (qPCR) in detecting malaria parasites among community members in five villages of Kyerwa district, Kagera region, an area where artemisinin partial resistance (ART-R) has been recently confirmed. Methods: A community cross-sectional survey of asymptomatic and symptomatic participants (n=4454) aged [&ge;]6 months was conducted in July and August 2023. Malaria infections were detected using RDTs, microscopy, and qPCR (using the 18S RNA gene). Performance of RDTs and microscopy was assessed by sensitivity, specificity, and predictive values, using qPCR as the reference method. Factors affecting the accuracy of these methods were explored using a multivariate logistic regression model. Results: The prevalence of malaria infections was 44.4% (n = 1979/4454), 32.1% (n = 1431/4454), and 39.8% (n = 1771/4454) by RDTs, microscopy, and qPCR, respectively. The prevalence of P. malariae and P. ovale mono-infection by microscopy was 0.2% (n = 7/4454) and 0.3% (n = 12/4454), while by qPCR was 0.4% (n = 16/4454) and 0.5% (n = 24/4454), respectively. The geometric mean parasite densities (GMPDs) by microscopy were 642 (95% confidence intervals (CI) = 570 - 723), 126 (95% CI = 98 - 162), and 124 (95% CI = 82 - 160) asexual parasites/[micro]L; while by qPCR, the GMPDs were 1180 (95% CI = 1032 - 1349), 44 (95% CI = 32 - 61), and 50 (95% CI = 29 - 89) parasites/[micro]L for P. falciparum, P. ovale spp, and P. malariae, respectively. The sensitivity and specificity of RDTs were 94.0% (95% CI = 92.8% - 95.1%) and 87.5% (95% CI = 86.2% - 88.7%), respectively; whereas those of microscopy were 74.6% (95% CI = 72.5% - 76.6%) and 95.2% (95% CI = 94.3% - 96.0%), respectively. The sensitivity of RDTs and microscopy was low at very low parasitemia (<100 parasite/[micro]L), but increased significantly with increasing parasitemia, reaching [&ge;]99.6% at >10000 parasites/{micro}L (p<0.001). Conclusion: A higher prevalence of malaria was detected and the performance of RDTs and qPCR were comparable, but microscopy had a lower performance. Higher sensitivity by RDTs compared to microscopy, indicates that RDTs are effective for the detection of malaria infections for routine case management and surveillance of malaria in this area with confirmed ART-R; and can be utilized in the ongoing plans to develop a response to ART-R."
https://doi.org/10.1101/2024.09.30.24314636,2024-09-30,False,The Lifecycle of Electronic Health Record Data in HIV-Related Big Data Studies: A Qualitative Study of Instances of and Potential Opportunities to Minimize Bias,"[""Arielle N'Diaye"", 'Shan Qiao', 'Camryn M Garrett', 'George Khushf', 'Jiajia Zhang', 'Xiaoming Li', 'Bankole Olatosi']",Shan Qiao (shanqiao@mailbox.sc.edu),['University of South Carolina'],"Background: Electronic health record (EHR) data are widely used in public health research, including HIV-related studies, but are limited by potential bias due to incomplete and inaccurate information, lack of generalizability, and lack of representativeness. This study explores how workflow processes within HIV clinics, among data scientists, and within state health departments may introduce and minimize bias within EHRs. Methods: Using a constructivist grounded theory approach, in-depth individual interviews were conducted with 16 participants purposively sampled in South Carolina from August 2023-April 2024. A focus group with 3 health department professionals with expertise in HIV disease surveillance was also conducted. Analysis was conducted as outlined by Charmaz (2006). Results: To reduce bias in EHR data, information entry forms should be designed to expansively include patient self-reported social determinants of health (SDOH) information. During data collection, healthcare providers should create a supportive healthcare environment, facilitate SDOH information disclosure, and accurately document patient information. Patients should have access to their EHRs to confirm that SDOH information are correctly recorded. During data curation, data scientists should inspect datasets for completeness, accuracy, and educate public health researchers on dataset limitations. During data management and utilization, health department professionals should crossmatch data across the state, customize data collection systems to reflect local needs, and provide community-based data education and stigma management. Conclusion: Study results suggest that future research is needed to understand how healthcare systems can be incentivized to create and implement EHR bias reduction strategies across all workflows and between stakeholders."
https://doi.org/10.1101/2024.09.30.24314596,2024-09-30,False,Sustained attention processes in very preterm adolescents and their relationship to socio-emotional competence.,"['Natalia Fernandez', 'Vanessa Siffredi', 'Jade Awada', 'Jenifer Miehlbradt', 'Cristina Borradori Tolsa', 'Maria Chiara Liverani', 'Russia Ha-Vinh Leuchter']",Natalia Fernandez (natalia.fernandez@unige.ch),"['1 University Hospital of Geneva;', '2 University of Geneva - Faculty of Medicine, Geneva University Hospitals, Department of Paediatrics']","Very preterm (VPT) adolescents are at high risk of impaired sustained attention processes, as well as behavioral and socio-emotional problems. Previous studies have highlighted altered attentional patterns of brain activation in this population, but results are inconsistent. The current study aims to explore brain activity related to sustained attention in VPT and full-term adolescents aged 11 18, as well as its associations with attentional capacities and socio emotional competences. Event related functional MRI (fMRI) was used to assess sustained attention performance and associated brain activations by comparing VPT (n = 34) and their age matched full term (FT, n = 28) peers from a previously validated continuous performance task with gradual onset (gradCPT) paradigm, using two different modality versions (i.e., face and scene). In both groups, linear regression analyses were performed to examine associations between attentional and socio emotional difficulties and brain activations related to sustained attention. Results show preserved sustained attention processes in VPT adolescents, indicated by comparable behavioral attentional performance and cerebral patterns of activations in both groups across the two modalities of the gradCPT. In addition, VPT adolescents showed over recruitments in posterior occipital areas compared to FT adolescents. Moreover, higher socio emotional difficulties (i.e., higher anxiety and social difficulties) in VPT were linked to altered activations specifically in the right middle frontal gyrus, occipito temporal gyri and bilateral cerebellum, but exclusively observed during the face modality of the gradCPT. Overall, these results suggest that despite preserved sustained attention competences, VPT adolescents present a less mature sustained attention cerebral network, particularly during a task with a social context."
https://doi.org/10.1101/2024.09.30.24314592,2024-09-30,False,Investigation of the urinary peptidome to unravel collagen degradation in health and kidney disease,"['Ioanna K Mina', 'Luis F Iglesias-Martinez', 'Matthias Ley', 'Lucas Fillinger', 'Paul Perco', 'Justyna Siwy', 'Harald Mischak', 'Vera Jankowski']",Vera Jankowski (vjankowski@ukaachen.de),"['1 mosaiques-diagnostics GmbH;', '2 Systems Biology Ireland, School of Medicine, University College Dublin;', '3 Computational Biology Department, Delta4 GmbH;', '4 Mosaiques-Diagnostics GmbH;', '5 Mosaiques Diagnostics;', '6 University Hospital RWTH Aachen, Institute for Molecular Cardiovascular Research']","Naturally occurring fragments of collagen type I alpha 1 chain (COL1A1) have been previously associated with chronic kidney disease (CKD), with some fragments showing positive and others negative associations. Using urinary peptidome data from healthy individuals (n=1131) and CKD patients (n=5585) this aspect was investigated in detail. Based on the hypothesis that many collagen peptides are derived not from the full, mature collagen molecule, but from (larger) collagen degradation products, relationships between COL1A1 peptides containing identical sequences were investigated, with the smaller (offspring) peptide being a possible degradation product of the larger (parent) one. The strongest correlations were found for relationships where the parent differed by a maximum of 3 amino acids from the offspring, indicating an exopeptidase-regulated stepwise degradation process. Regression analysis indicated that CKD affects this degradation process. Comparison of matched CKD patients and control individuals (n=612 each) showed that peptides at the start of the degradation process were consistently downregulated in CKD, indicating an attenuation of COL1A1 endopeptidase-mediated degradation. However, as these peptides undergo further degradation, likely mediated by exopeptidases, this downregulation can become less significant or even reverse, leading to an upregulation of later stage fragments and potentially explaining the inconsistencies observed in previous studies."
https://doi.org/10.1101/2024.09.30.24314635,2024-09-30,False,Identification of novel nutrient-sensitive human yolk sac functions required for embryogenesis,"['Marina White', 'Jayden Arif-Pardy', 'Enrrico Bloise', 'Kristin L Connor']",Kristin L Connor (kristin.connor@carleton.ca),"['1 Carleton University, Health Sciences;', '2 Federal University of Minas Gerais']","The human yolk sac (hYS) is essential for embryo nutrient biosynthesis/transport and development. However, there lacks a comprehensive study of hYS nutrient-gene interactions. Here we performed a secondary analysis of hYS transcript profiles (n=9 samples) to identify nutrient-sensitive hYS genes and regulatory networks, including those that associate with adverse perinatal phenotypes with embryonic origins. Overall, 14.8% highly expressed hYS genes are nutrient-sensitive; the most common nutrient cofactors for hYS genes are metals and B-vitamins. Functional analysis of highly expressed hYS genes reveals that nutrient-sensitive hYS genes are more likely to be involved in metabolic functions than hYS genes that are not nutrient-sensitive. Through nutrient-sensitive gene network analysis, we find that four nutrient-sensitive transcription regulators in the hYS (with zinc and/or magnesium cofactors) are predicted to collectively regulate 30.9% of highly expressed hYS genes. Lastly, we identify 117 nutrient-sensitive hYS genes that associate with an adverse perinatal outcome with embryonic origins. Among these, the greatest number of nutrient-sensitive hYS genes are linked to congenital heart defects (n=54 genes), followed by microcephaly (n=37). Collectively, our study characterises nutrient-sensitive hYS functions and improves understanding of the ways in which nutrient-gene interactions in the hYS may influence both typical and pathological development."
https://doi.org/10.1101/2024.09.30.24314627,2024-09-30,False,Adverse respiratory events during treatment with gabapentin and opioids among older adults with spine-related conditions: a propensity-matched cohort study in the US Medicare population,"['Laura S Gold', 'Patrick J Heagerty', 'Ryan N Hansen', 'Janna L Friedly', 'Richard A Deyo', 'Michele Curatolo', 'Judith A Turner', 'Sean D Rundell', 'Jeffrey G Jarvik', 'Pradeep Suri']",Laura S Gold (goldl@uw.edu),"['1 University of Washington;', '2 Oregon Health and Sciences University']","Background Context: Recent work indicates no increased mortality risk with concurrent gabapentin and opioid use when using an active comparator control design. However, concurrent gabapentin and opioid prescriptions have been associated with greater risk of respiratory depression in some studies. Purpose: To compare the risk of respiratory events among Medicare enrollees with spine-related diagnoses treated with gabapentin + opioids vs those treated with tricyclic antidepressants (TCA) or duloxetine + opioids. We hypothesized that enrollees treated with gabapentin + opioids would have increased risk of adverse respiratory events compared to those treated with an active control + opioids. Study Design/Setting: Propensity score-matched cohort study with an incident user, active comparator (TCA/duloxetine) control design. The primary analysis included those who concurrently (within 30 days) filled [&ge;]1 incident gabapentin + [&ge;]1 opioid or [&ge;]1 incident TCA/duloxetine + [&ge;]1 opioid prescription. Patient Sample: U.S. Medicare beneficiaries with spine-related diagnoses 2017-2019. People treated with gabapentin + opioids (n=66,580) were matched on demographic and clinical factors to people treated with TCAs/duloxetine + opioids (n=66,580). Outcome Measures: Time to a composite respiratory outcome consisting of mechanical ventilation, intubation, respiratory failure, pneumonia, or acute respiratory distress syndrome. Methods: Cox proportional hazard regression was used to estimate adjusted hazard ratios (aHRs) and 95% confidence intervals (95% CIs). Results: Among 133,160 Medicare enrollees (median age 73.3 years; 66.7% female), 6089 (4.6%) experienced respiratory events before the end of follow-up. A total of 3297 (5.0%) of people who were treated with gabapentin + opioids (median initial dose/day of gabapentin was 338 mg) had respiratory events compared to 2792 (4.2%) of those treated with an active control + opioids. The increased risk in those treated with gabapentin + opioids was statistically significant after adjustment (HR 1.14; 95% CI 1.09, 1.20; p<0.0001). The most common respiratory events were pneumonia (3.5% of people in the gabapentin + opioids group versus 3.0% of people in the TCA/duloxetine + opioids group) and respiratory failure (2.2% in the gabapentin + opioids group versus 1.8% in the TCA/duloxetine + opioids group). Results were similar in analyses (a) restricted to [&le;]30-day follow-up and (b) that required [&ge;]2 fills of each prescription. Conclusions: While recent work has indicated no increased mortality risk with concurrent gabapentin and opioid use, the current findings suggest clinicians should exercise caution in prescribing gabapentin to people experiencing pain who are also being treated with opioids, due to the potentially increased risk of respiratory events."
https://doi.org/10.1101/2024.09.30.24314620,2024-09-30,False,The neurodevelopmental spectrum of CASK-related disorder,"['Jessica Martin', 'Alkistis Mavrogalou-Foti', 'Josefine Eck', 'Laura Hattersley', 'Kate Baker']",Kate Baker (kb488@cam.ac.uk),"['1 MRC Cognition and Brain Sciences Unit, University of Cambridge;', '2 CASK Research Foundation;', '3 University of Camridge']","Background: Pathogenic CASK variants are associated with neurodevelopmental disorders of variable severity including X-linked intellectual disability (XLID) and microcephaly with pontocerebellar hypoplasia (MICPCH). Although the number of diagnosed cases is rising, current understanding of the CASK-related neurodevelopmental spectrum is limited. Here, we systematically review the published characteristics of individuals with CASK-related disorder, and compare these to a more recently-diagnosed group. We provide quantitative information about the ranges of adaptive abilities, motor function, visual function and social-emotional-behavioural characteristics, and explore within-group associations. Methods: 151 individuals with CASK variants were identified in published literature. 31 children and young people with CASK variants were recruited to the UK-based Brain and Behaviour in Neurodevelopmental disorder of Genetic Origin (BINGO) project. BINGO-participating caregivers completed a bespoke medical history questionnaire and battery of standardised neurodevelopmental measures. Results: Comparing the recently diagnosed BINGO CASK-related disorder group to previously reported individuals, we found consistent prevalence of tone abnormalities, sensorineural hearing loss and epilepsy, but lower prevalence of severe/profound ID, MICPCH, optic atrophy and nystagmus. Areas of frequent difficulty not highlighted in previous reports include sleep difficulties and cerebral visual impairment (CVI). Neurodevelopmental characteristics were highly variable within the BINGO CASK-related disorder group, and group-wide patterns were similar to those observed in other rare genetic conditions. Within the BINGO CASK-related group, epilepsy is significantly associated with ID severity, after controlling for age. Sub-groups with MICPCH or microcephaly only have equivalent ranges of adaptive function, but MICPCH may be associated with more severe motor difficulties. Conclusion: The spectrum of neurodevelopmental characteristics associated with CASK-related disorder appears to be broadening with increased access to genome-wide diagnostic testing. Further studies are needed to elucidate the relationships between CASK variants, structural brain development, epilepsy, and neurodevelopmental characteristics."
https://doi.org/10.1101/2024.09.30.24314377,2024-09-30,False,Long-Read Sequencing Increases Diagnostic Yield for Pediatric Sensorineural Hearing Loss,"['Shelby E Redfield', 'Wanqing Shao', 'Tieqi Sun', 'Adrian Pastolero', 'William J Rowell', 'Courtney E French', 'Cillian Nolan', 'James Matthew Holt', 'Christopher T Saunders', 'Cairbre Fanslow', 'Eirini Maria Lampraki', 'Christine Lambert', 'Margaret Kenna', 'Michael Eberle', 'Shira Rockowitz', 'Aiden Eliot Shearer']",Aiden Eliot Shearer (eliot.shearer@childrens.harvard.edu),"[""1 Department of Otolaryngology and Communication Enhancement, Boston Children's Hospital, Boston, MA, USA;"", ""2 Children's Rare Disease Collaborative, Department of Information Technology, Boston Children's Hospital, Boston, MA, USA;"", '3 Pacific Biosciences, Menlo Park, CA, USA']","The diagnostic yield of genetic testing for pediatric sensorineural hearing loss (SNHL) has remained at around 40% for over a decade despite newly discovered causative genes and the expanded use of exome sequencing (ES). This stagnation may be due to (1) a focus on coding regions of the genome and (2) an inability to resolve variants in complex genomic regions due to reliance on short-read sequencing technologies. Short-read genome sequencing (srGS) and long-read genome sequencing (lrGS) both provide exonic single nucleotide variant (SNV) and small indel detection at the same sensitivity as ES, but also evaluate intronic regions. lrGS provides improved resolution for structural variants (SV) and repetitive genomic regions. We sought to investigate the potential utility of lrGS in the diagnostic evaluation of a small cohort of patients with SNHL of unknown etiology after ES and srGS. 19 pediatric patients with SNHL underwent lrGS via PacBio SMRT sequencing. Sequencing data were processed using the PacBio WGS variant pipeline. The diagnostic yield for this lrGS cohort was 4/19 (21%). Relevant variants detected only with lrGS included a hemizygous deletion in trans with a missense variant in an area of high genomic homology (OTOA) and two single nucleotide loss-of-function variants in trans to a known copy-number-loss for a gene with a highly homologous pseudogene (STRC). A complex inversion was identified in the MITF gene which was also identified on post-hoc analysis by srGS. LrGS provides improved resolution for complex genomic structural variation which may increase diagnostic yield for genetic pediatric SNHL, and, potentially, rare disease more broadly."
https://doi.org/10.1101/2024.09.30.24314593,2024-09-30,False,The contribution of coding variants to the heritability of multiple cancer types using UK Biobank whole-exome sequencing data,"['Naomi Alice Wilcox', 'Jonathan Tyrer', 'Joe Dennis', 'Xin Yang', 'John Perry', 'Eugene J. Gardner', 'Douglas Easton']",Naomi Alice Wilcox (naw41@medschl.cam.ac.uk),"['1 University of Cambridge;', '2 Centre for Cancer Genetic Epidemiology, Department of Public Health and Primary Care.  University of Cambridge.  UK.;', '3 MRC Epidemiology Unit, Wellcome-MRC Institute of Metabolic Science.  University of Cambridge.  UK.']","Genome-wide association studies have been highly successful at identifying common variants associated with cancer, however, they do not explain all the inherited risk of cancer. Family-based studies, targeted sequencing and, more recently, exome-wide association studies have identified rare coding variants in some genes associated with cancer risk, but the overall contribution of these variants to the heritability of cancer is less clear. Here we describe a method to estimate the genome-wide contribution of rare coding variants to heritability that fits models to the burden effect sizes using an empirical Bayesian approach. We apply this method to the burden of protein-truncating variants in over 15,000 genes for 11 cancers in UK Biobank, using whole-exome sequencing data on over 400,000 individuals. We extend the method to consider the overlap of genes contributing to pairs of cancers. We found ovarian cancer to have the greatest proportion of heritability attributable to protein-truncating variants in genes (46%). The joint cancer models highlight significant clustering of cancer types, including a near complete overlap in susceptibility genes for breast, ovarian, prostate and pancreatic cancer. Our results provide insights into the contribution of rare coding variants to the heritability of cancer and identify additional genes with strong evidence of susceptibility to multiple cancer types."
